1||||1700|500|850000|935000|||R|8-8632-6979|
2||||950|500|475000|522500|||C|2-9059-2283|
3||||1200|500|600000|660000|||C|8-6864-8560|
4||||900|500|450000|495000|||I|8-1324-1977|
5||||950|500|475000|522500|||ARQ|9-1260-4528|
6||||1800|500|900000|990000|||C|1-3559-6861|
7||||850|500|425000|467500|||D|7-9572-3838|
8||||1750|500|875000|962500|||C|5-4974-3973|
9||||450|500|225000|247500|||C|6-1378-5613|
10||||300|500|150000|165000|||R|1-8711-6997|
11||||850|500|425000|467500|||D|8-8157-3869|
12||||250|500|125000|137500|||I|4-8524-3575|
13||||600|500|300000|330000|||C|4-7585-3823|
14||||1200|500|600000|660000|||D|6-9291-6364|
15||||1850|500|925000|1017500|||C|7-7173-9845|
16||||200|500|100000|110000|||I|7-5553-9413|
17||||1750|500|875000|962500|||ARQ|4-4627-4459|
18||||850|500|425000|467500|||C|1-8749-8588|
19||||700|500|350000|385000|||D|1-7831-9716|
20||||1750|500|875000|962500|||I|2-3387-5155|
21||||1800|500|900000|990000|||C|7-3206-2034|
22||||850|500|425000|467500|||R|4-8042-6760|
23||||800|500|400000|440000|||I|5-7153-7025|
24||||300|500|150000|165000|||C|7-1024-5363|
25||||1700|500|850000|935000|||C|5-3473-2928|
26||||1900|500|950000|1045000|||ARQ|6-6991-9814|
27||||400|500|200000|220000|||I|6-8648-7857|
28||||1600|500|800000|880000|||C|5-5452-9388|
29||||1300|500|650000|715000|||ARQ|3-1690-3683|
30||||1800|500|900000|990000|||D|7-2878-5461|
31||||1150|500|575000|632500|||ARQ|9-2957-6315|
32||||1850|500|925000|1017500|||ARQ|9-3600-7711|
33||||1500|500|750000|825000|||R|3-9777-8891|
34||||650|500|325000|357500|||D|5-8257-7758|
35||||950|500|475000|522500|||I|1-7181-5901|
36||||450|500|225000|247500|||I|7-2995-9737|
37||||1050|500|525000|577500|||R|3-2292-6174|
38||||500|500|250000|275000|||I|2-9468-7024|
39||||1350|500|675000|742500|||I|2-9992-5407|
40||||1050|500|525000|577500|||D|5-4244-2250|
41||||900|500|450000|495000|||ARQ|3-9419-3503|
42||||1200|500|600000|660000|||R|1-4514-3535|
43||||400|500|200000|220000|||R|5-2003-9487|
44||||550|500|275000|302500|||I|9-3021-8311|
45||||1800|500|900000|990000|||R|9-7972-8015|
46||||1250|500|625000|687500|||I|7-5028-2587|
47||||600|500|300000|330000|||ARQ|6-8697-8416|
48||||950|500|475000|522500|||D|9-3840-9968|
49||||700|500|350000|385000|||C|1-9459-3178|
50||||250|500|125000|137500|||D|6-3752-9096|
51||||1750|500|875000|962500|||C|2-6571-4597|
52||||1200|500|600000|660000|||C|2-7286-4934|
53||||1350|500|675000|742500|||I|1-6981-9286|
54||||1850|500|925000|1017500|||D|8-6439-3212|
55||||550|500|275000|302500|||I|8-9146-6474|
56||||1750|500|875000|962500|||I|2-5129-7212|
57||||950|500|475000|522500|||C|7-1034-7189|
58||||1300|500|650000|715000|||I|3-6410-1656|
59||||1700|500|850000|935000|||D|9-1414-3906|
60||||1950|500|975000|1072500|||ARQ|8-8607-4878|
61||||1300|500|650000|715000|||R|8-9754-1320|
62||||450|500|225000|247500|||I|6-2902-2490|
63||||950|500|475000|522500|||D|3-4829-7227|
64||||1200|500|600000|660000|||D|8-2998-2169|
65||||1050|500|525000|577500|||I|2-3123-2633|
66||||1900|500|950000|1045000|||C|6-7396-4110|
67||||1200|500|600000|660000|||R|5-6542-6073|
68||||1000|500|500000|550000|||C|2-5926-6274|
69||||1300|500|650000|715000|||ARQ|1-5511-3104|
70||||1800|500|900000|990000|||I|4-2599-1921|
71||||1950|500|975000|1072500|||D|3-7447-1656|
72||||1650|500|825000|907500|||I|8-7326-9699|
73||||1950|500|975000|1072500|||D|2-6893-8342|
74||||750|500|375000|412500|||ARQ|6-9657-8119|
75||||950|500|475000|522500|||D|6-7206-2926|
76||||1600|500|800000|880000|||C|7-8370-5230|
77||||550|500|275000|302500|||D|7-8165-6261|
78||||1300|500|650000|715000|||C|3-8762-3390|
79||||1100|500|550000|605000|||C|4-6300-2146|
80||||1650|500|825000|907500|||C|7-3951-9836|
81||||1800|500|900000|990000|||D|6-7016-6504|
82||||400|500|200000|220000|||R|5-6807-3433|
83||||450|500|225000|247500|||ARQ|1-4045-6244|
84||||1900|500|950000|1045000|||R|4-6677-7612|
85||||1750|500|875000|962500|||C|5-2652-2706|
86||||400|500|200000|220000|||I|9-4168-7832|
87||||300|500|150000|165000|||D|2-7499-4067|
88||||450|500|225000|247500|||I|3-7255-7922|
89||||650|500|325000|357500|||R|3-8323-6097|
90||||1000|500|500000|550000|||D|2-4814-9209|
91||||300|500|150000|165000|||ARQ|2-3264-3086|
92||||1900|500|950000|1045000|||R|5-3925-7707|
93||||1900|500|950000|1045000|||D|6-8936-5208|
94||||1850|500|925000|1017500|||R|5-3424-4288|
95||||1000|500|500000|550000|||I|4-2012-5033|
96||||1650|500|825000|907500|||D|5-5157-8775|
97||||850|500|425000|467500|||ARQ|4-8222-4235|
98||||1200|500|600000|660000|||ARQ|9-8191-3177|
99||||1750|500|875000|962500|||ARQ|9-3079-8848|
